movie_id,title,release_date,genres
0011c654a9,Dead Man Down,2013-03-08,"Action, Crime, Drama, Thriller"
0012619607,13TH,2016-10-07,"Documentary, Crime"
00139d66d0,Hacksaw Ridge,2016-11-04,"Biography, Drama, History, War"
001718c1fe,Just My Luck,2006-05-12,"Comedy, Fantasy, Romance"
001d67adde,The Amityville Horror,2005-04-15,Horror
0047acb471,American Violence,2017-06-11,"Crime, Drama, Thriller"
004861ff1c,Heartthrob,2018-01-01,"Drama, Romance, Thriller"
006e98e1a0,Wonder,2017-11-17,"Drama, Family"
00c260c9db,Raising the Bar,2016-05-02,"Drama, Family, Sport"
00d10b4913,Lakeview Terrace,2008-09-19,"Crime, Drama, Thriller"
00f794ef94,Mostly Sunny,2017-01-10,Documentary
016c6d8145,Wedding Unplanned,2017-04-26,"Comedy, Drama"
01b76766cb,Nanny McPhee and the Big Bang,2010-08-20,"Comedy, Family, Fantasy"
01b800e583,Half Girlfriend,2017-05-19,"Drama, Romance"
01e5092b5d,Frontline Fighting: Battling ISIS,2015-09-16,Documentary
01e829ed72,El Camino Christmas,2017-12-08,"Comedy, Crime, Western"
01f4f11b5f,Heist,2015-11-11,"Action, Crime, Drama, Thriller"
01f65f7125,Vampires,1998-10-30,"Action, Horror, Thriller"
023359c842,Air Bud: Seventh Inning Fetch,2002-06-18,"Comedy, Drama, Family, Sport"
0246f8854d,Three-Quarters Decent,2012-01-15,NOT AVAILABLE
027eb05f4f,A Wish For Christmas,2016-10-29,"Drama, Family, Fantasy, Romance"
027ff91597,Baywatch,2017-05-25,"Action, Comedy, Crime"
028cd7c4dd,The Trap,2019-04-01,Comedy
028f395d1d,Wheelman,NOT AVAILABLE,NOT AVAILABLE
02a2393d9d,Lego DC Comics: Batman Be-Leaguered,2014-10-27,"Animation, Short, Action, Adventure, Comedy, Family, Sci-Fi"
02d4c10058,After Porn Ends 2,2017-03-28,Documentary
02e1533d6e,The Duel,2016-06-24,"Drama, Western"
02e646416e,10 jours en or,2012-01-11,"Comedy, Drama"
02eec8d818,When Angels Sleep,2018-09-07,"Drama, Thriller"
0319e3220c,Super Dark Times,2017-09-29,"Crime, Drama, Horror, Thriller"
031a5651ae,Warcraft,2016-06-10,"Action, Adventure, Fantasy"
03253f72b6,Rustom,2016-08-12,"Crime, Drama, Thriller"
03335db6fc,Top Dog,2014-05-26,"Crime, Drama"
0348f4ed88,A Life of Its Own: The Truth About Medical Marijuana,2017-04-09,Documentary
039b55dbba,The Great Raid,2005-08-12,"Action, Drama, War"
039d9da1ad,The 40-Year-Old Virgin,2005-08-19,"Comedy, Romance"
03a064a477,Jackass Presents: Bad Grandpa,2013-10-25,Comedy
03b67f0fb8,Good Time,2017-08-25,"Crime, Drama, Thriller"
03e2a653ea,Grown Ups 2,2013-07-12,Comedy
04193cf97f,The Killer Elite,1975-12-19,"Action, Crime, Thriller"
042e4f2fc4,The Burning Plain,2009-11-05,"Crime, Drama, Romance"
0433aa2b8b,End of a Gun,2016-09-23,"Action, Crime, Thriller"
0451948549,Straw Dogs,2011-09-16,"Action, Drama, Thriller"
04542e5bbc,F/X2,1991-05-10,"Action, Thriller"
046a48fd87,Tucker and Dale vs. Evil,2010-12-09,"Comedy, Horror"
04af871726,Unicorn Store,2019-04-05,"Comedy, Drama, Fantasy"
04c56721c1,American Pie Presents: Beta House,2007-12-26,Comedy
0534e59fe4,Love Actually,2003-11-14,"Comedy, Drama, Romance"
0536b0e7c7,Good Kids,2016-10-21,"Comedy, Drama"
053fdc821c,The Kingdom,2007-09-28,"Action, Drama, Thriller"
05412cf4d7,The Highwaymen,2019-03-29,"Biography, Crime, Drama, Mystery, Thriller"
055bad270b,Hot Girls Wanted,2015-05-29,Documentary
0593bde1e7,It's a Boy Girl Thing,2006-12-26,"Comedy, Fantasy, Romance"
05bed9b300,Madso's War,2010-12-30,"Action, Crime, Drama"
05c94c9c3c,8mm,1999-02-26,"Crime, Drama, Mystery, Thriller"
05caab97c2,All About Them,2015-03-25,"Comedy, Romance"
05d1474c9e,ARQ,2016-09-16,"Action, Sci-Fi, Thriller"
05d28b83cb,Tears of the Sun,2003-03-07,"Action, Drama, Thriller, War"
06324572db,Harriet the Spy: Blog Wars,2010-03-26,"Comedy, Family"
06d4ac493f,Step Brothers,2008-07-25,Comedy
075897461c,Batman Ninja,2018-04-24,"Animation, Action, Sci-Fi"
075e681174,Message from the King,NOT AVAILABLE,NOT AVAILABLE
0774a69c5c,Don't Knock Twice,2017-02-03,"Drama, Fantasy, Horror, Mystery, Thriller"
077d30fcfa,The Midnight Meat Train,2008-10-31,"Horror, Mystery, Thriller"
07a6fde120,Criminal Activities,2015-11-20,"Crime, Drama, Thriller"
07ecb753a6,Harvest Moon,2015-10-10,"Comedy, Drama, Romance"
080f74d403,"Knock, Knock",2015-10-09,"Drama, Thriller"
0818af94ce,The Last Summer,2019-05-03,Comedy
081f848e64,Virgin School,2007-05-15,Documentary
083699b728,Fatso,2012-05-04,"Comedy, Fantasy, Romance"
083bfd49f1,Masaan,2015-06-24,Drama
085407313e,Switchback,1997-10-31,"Crime, Mystery, Thriller"
085623915e,Aliens on the Moon: The Truth Exposed,2014-07-20,Sci-Fi
086ba1c767,Shame,2012-01-13,Drama
089a4e8be7,Home Again,2017-09-08,"Comedy, Drama, Romance"
08cd9e0989,Hush,2016-04-08,"Horror, Thriller"
08d05f7960,Insidious: Chapter 2,2013-09-13,"Horror, Mystery, Thriller"
0913bfc8d7,Jora 10 Numbaria,2017-09-01,Action
09318f1a6d,The Firm,1993-06-30,"Drama, Mystery, Thriller"
0940aaabd0,Magic Mike XXL,2015-07-01,"Comedy, Drama, Music"
0941079a9e,Stronger,2017-09-29,"Biography, Drama"
09501bcee5,Jem and the Holograms,2015-10-23,"Adventure, Drama, Family, Fantasy, Music, Romance, Sci-Fi"
0969dff1fa,Bring It On: In It to Win It,2007-12-18,"Comedy, Sport"
097174dc75,Mark & Russell's Wild Ride,2015-11-23,"Adventure, Comedy, Family"
099c14cd20,Alien Abduction,2014-05-01,"Horror, Sci-Fi, Thriller"
09a559f1ce,Shimmer Lake,2017-06-09,"Crime, Drama, Mystery, Thriller"
09aa140d0c,Home Invasion,2016-02-02,"Crime, Drama, Horror, Thriller"
09b19a990f,30 Minutes or Less,2011-08-12,"Action, Comedy, Crime"
09c47fc3bc,An American Girl: McKenna Shoots for the Stars,2012-07-03,"Drama, Family, Sport"
0a0122262b,Rules of Engagement,2000-04-07,"Drama, Thriller, War"
0a38b53bdd,Concussion,2013-12-05,Drama
0a45e9c29b,The Visit,2015-09-11,"Horror, Mystery, Thriller"
0a86ed506d,The Secret Scripture,2017-10-13,"Drama, Romance"
0aa67d7250,Capitalism: A Love Story,2009-10-02,"Documentary, Crime"
0aa7e9c681,Sharknado: The 4th Awakens,2016-07-31,"Horror, Sci-Fi"
0ab4bd311d,American Pie Presents: The Naked Mile,2006-12-19,Comedy
0ac011c423,Spy Kids,2001-03-30,"Action, Adventure, Comedy, Family, Sci-Fi"
0ace6632b9,Fred 3: Camp Fred,2012-07-28,"Comedy, Family"
0adc45185d,Traffik,2018-04-20,"Action, Crime, Drama, Thriller"
0b1233b0a8,Despido Procedente,2017-06-30,Comedy
0b1cdb1a41,Okja,2017-06-28,"Action, Adventure, Drama, Sci-Fi"
0b40a4578b,Love and Shukla,2018-01-06,"Comedy, Drama, Romance"
0b4be71520,Automata,2014-10-17,"Action, Drama, Sci-Fi, Thriller"
0b4c284ea9,Carrie,1976-11-16,Horror
0b788ce585,Our Lovers,2016-06-03,"Comedy, Drama, Romance"
0b8a509f9f,My Little Pony: The Movie,2017-10-06,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical"
0bdd0c0e40,The Adventures of Food Boy,2008-04-01,"Comedy, Fantasy"
0be62aac8b,Chopsticks,2019-05-31,"Comedy, Drama"
0bfa7c0828,Faster,2010-11-24,"Action, Crime, Drama, Thriller"
0c0e6c493c,Abzurdah,2015-06-04,"Biography, Drama, Romance"
0c40c4f315,Little Lunch: The Nightmare Before Graduation,NOT AVAILABLE,"Comedy, Family"
0c44c7f2eb,Midnight Special,2016-04-21,"Drama, Mystery, Sci-Fi, Thriller"
0c4de92447,Hired Gun,2017-08-01,"Documentary, Music"
0c77114ebc,The Amazing Spider-Man 2,2014-05-02,"Action, Adventure, Sci-Fi"
0c7c063435,Make It Happen,2008-08-08,Drama
0c7f9dee2b,Take the 10,2017-01-20,Comedy
0c9d725da9,Love By Chance,2016-04-16,"Comedy, Romance"
0ca8bc0382,Bright,2017-12-22,"Action, Fantasy, Thriller"
0cba3bee9b,Percentage,2014-04-24,"Action, Crime, Thriller"
0d28a91321,Holiday: A Soldier Is Never Off Duty,2014-06-06,"Action, Thriller"
0d4eeea4d1,Extraction,2015-12-18,"Action, Thriller"
0d528cc045,Django Unchained,2012-12-25,"Drama, Western"
0d627e783a,Miller's Crossing,1990-10-05,"Crime, Drama, Thriller"
0d67bdfc82,Chosen,2016-08-02,"Drama, War"
0d92996e1d,The Fate of the Furious,2017-04-14,"Action, Adventure, Crime, Thriller"
0d96c4731c,Blow,2001-04-06,"Biography, Crime, Drama"
0dd0272d10,Looking Glass,2018-02-16,"Mystery, Thriller"
0e78e4d3e8,True Memoirs of an International Assassin,2016-11-11,"Action, Comedy, Crime"
0eb47c10e6,The Longest Yard,2005-05-27,"Comedy, Crime, Sport"
0ee0dabd81,Ugly,2014-12-26,"Crime, Drama, Mystery, Thriller"
0f24675815,From Dusk Till Dawn 2: Texas Blood Money,1999-03-16,"Crime, Horror, Thriller"
0f2c815bc6,National Security,2003-01-17,"Action, Comedy, Crime, Thriller"
0f3b137f4e,War Machine,2017-05-26,"Comedy, Drama, War"
0f49a6ca95,Dirty Grandpa,2016-01-22,Comedy
0f56102775,Now You See Me 2,2016-06-10,"Action, Adventure, Comedy, Crime, Mystery, Thriller"
0f745ee6f6,The Babysitter,1995-10-17,"Drama, Thriller"
0f82150a03,The Preacher's Son,2017-03-03,"Drama, Mystery, Romance"
0f99b7ff76,Killing Me Softly,2002-06-21,"Drama, Mystery, Romance, Thriller"
0fc283bc6d,The Circle,2017-04-28,"Drama, Sci-Fi, Thriller"
100b3853a2,From Fat to Finish Line,2016-08-02,Documentary
10664d0a31,Girl Missing,2015-10-25,Thriller
1068f5a363,Seven Psychopaths,2012-10-12,"Comedy, Crime"
106de72676,The Giant,2017-10-20,"Drama, History"
108ee2aa37,How the Grinch Stole Christmas,2000-11-17,"Comedy, Family, Fantasy"
109d01ce70,Runnin' Down a Dream,2007-10-14,"Documentary, Music"
109fc9bc5c,Deepwater Horizon,2016-09-30,"Action, Drama, History, Thriller"
10a49a001f,Sisters,2015-12-18,Comedy
10a931c644,The Girl Who Played with Fire,2010-08-27,"Crime, Drama, Mystery, Thriller"
10b455fb2b,San Andreas,2015-05-29,"Action, Adventure, Drama, Thriller"
10c6320aa3,Koi... Mil Gaya,2003-08-08,"Action, Drama, Romance, Sci-Fi"
10d7015b45,American Gangster,2007-11-02,"Biography, Crime, Drama, Thriller"
11035a7006,How to Get Over a Breakup,2018-05-31,Comedy
117c9dc515,Set It Up,2018-06-15,"Comedy, Romance"
119d4c643a,The Dolphin,2009-10-08,"Animation, Adventure, Family"
11bbaea594,Twisted,2004-02-27,"Crime, Drama, Mystery, Thriller"
11e289bcd7,Poltergeist III,1988-06-10,"Horror, Thriller"
1239223c2a,Temple,2017-09-01,"Adventure, Drama, Horror"
12795a30ce,Derren Brown: The Push,2015-11-08,NOT AVAILABLE
1292837bcd,The Martian,2015-10-02,"Adventure, Drama, Sci-Fi"
129377b6eb,A Christmas Detour,2015-11-28,"Comedy, Romance"
12a0a78948,Halo 4: Forward Unto Dawn,2012-10-05,"Action, Adventure, Family, Sci-Fi, Thriller, War"
12ca3837f3,Battle Royale,2000-12-16,"Action, Adventure, Drama, Sci-Fi, Thriller"
12d726e81f,The Accidental Husband,2008-02-29,"Comedy, Romance"
12fb9f34e6,Redcon-1,2019-05-03,"Action, Horror, Thriller"
134fbdf0a7,Casper's Haunted Christmas,2000-10-31,"Animation, Comedy, Family, Fantasy, Horror"
135b9a39b9,Lusers,2015-10-01,"Adventure, Comedy"
13843c2dab,Golden Years,2016-04-29,"Action, Comedy, Crime, Drama"
13a4ff3605,Captain Phillips,2013-10-11,"Biography, Crime, Drama, Thriller"
13a893baee,Thief,1981-03-27,"Action, Crime, Drama, Thriller"
13ae145ce0,Friends with Kids,2012-03-16,"Comedy, Drama, Romance"
13bdd488dc,Don't Kill It,2017-03-03,"Action, Comedy, Fantasy, Horror"
13c25a1f8a,Nim's Island,2008-04-04,"Adventure, Family, Fantasy"
13c3786845,Veerappan,2016-05-27,"Action, Biography, Crime"
13db13be7b,Mother's Day,2016-04-29,"Comedy, Drama, Romance"
13de65e022,Cloudy with a Chance of Meatballs 2,2013-09-27,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi"
13e9f8fac8,District 9,2009-08-14,"Action, Sci-Fi, Thriller"
13fde046bc,Hot Bot,2016-03-01,"Comedy, Sci-Fi"
140123d856,A Flying Jatt,2016-08-25,"Action, Adventure, Comedy, Drama, Sci-Fi"
14022c165d,Diary of the Dead,2008-02-22,"Fantasy, Horror, Sci-Fi, Thriller"
1449328c8e,High Risk,1995-07-12,"Action, Comedy, Crime, Thriller"
144d9e4c3c,On Yoga The Architecture of Peace,2017-11-16,Documentary
1457831762,From Japan to Egypt,2017-01-06,NOT AVAILABLE
1458d9c3da,Manhole,2014-10-08,"Horror, Thriller"
148216dcf0,Baby Mama,2008-04-25,"Comedy, Romance"
14d5f6aeb2,Reclaim,2014-09-19,"Action, Crime, Drama, Thriller"
14f10d2c09,#realityhigh,2017-09-08,"Comedy, Drama, Romance"
151a793973,Sandy Wexler,NOT AVAILABLE,NOT AVAILABLE
153abe0e82,Silencer,2018-09-04,"Action, Drama, Thriller"
1566cdf158,Larry Crowne,2011-07-01,"Comedy, Drama, Romance"
156ba356e9,Mission: Impossible II,2000-05-24,"Action, Adventure, Thriller"
15ae657622,Off Course,2015-03-06,Comedy
15aedf58fe,American Sniper,2015-01-16,"Action, Biography, Drama, War"
15b8c15d98,Tope: The Bait,2016-09-01,NOT AVAILABLE
161ab8fb22,The Seventh Sign,1988-04-01,"Drama, Fantasy, Horror, Thriller"
164021ffff,A Walk Among the Tombstones,2014-09-19,"Action, Crime, Drama, Mystery, Thriller"
16554b016d,The Hunter,2011-10-06,"Adventure, Drama, Thriller"
16587a9874,Natascha Kampusch: The Whole Story,NOT AVAILABLE,Documentary
1690377d8d,The Ides of March,2011-10-07,"Drama, Thriller"
1698162ce4,Full Out,2015-09-11,"Biography, Drama, Family, Sport"
16aa5f4bab,Bleach,2018-07-20,"Action, Adventure, Fantasy"
16af025daf,Foo Fighters: Back and Forth,2011-04-05,"Documentary, Music"
16d373f59e,The Hunger Games: Catching Fire,2013-11-22,"Action, Adventure, Mystery, Sci-Fi, Thriller"
16d790be27,Aquarius,2016-09-01,Drama
16dc968f63,Jay and Silent Bob Strike Back,2001-08-24,Comedy
16f4e5e023,Quarantine,2008-10-10,"Action, Horror, Sci-Fi, Thriller"
16f55e8e1c,Land of the Lost,2009-06-05,"Action, Adventure, Comedy, Sci-Fi"
172b3f240d,50/50,2011-09-30,"Comedy, Drama, Romance"
17345b0b4f,Saved!,2004-06-11,"Comedy, Drama"
173ff0b702,The Humanity Bureau,2018-04-06,"Action, Adventure, Sci-Fi, Thriller"
17423513fe,You Don't Mess with the Zohan,2008-06-06,Comedy
176bf265cc,Genghis Khan,1965-06-23,"Adventure, Drama, History, War"
1787025c56,The Mummy: Tomb of the Dragon Emperor,2008-08-01,"Action, Adventure, Fantasy, Horror, Thriller"
17931e7def,The Good Night,2008-01-18,"Comedy, Drama, Fantasy, Music, Romance"
179e56d788,Vicky Cristina Barcelona,2008-08-15,"Comedy, Drama, Romance"
17acf67825,Son of Alladin,NOT AVAILABLE,NOT AVAILABLE
180a20a70b,Transporter 3,2008-11-26,"Action, Thriller"
1828988403,Pitch Perfect 2,2015-05-15,"Comedy, Music"
183344c345,Dragons: Dawn of the Dragon Racers,2014-11-11,"Animation, Short, Adventure, Comedy, Family, Fantasy"
184e2322b1,Tamanchey,2014-10-10,"Crime, Romance"
185dd101b6,The Tourist,2010-12-10,"Action, Adventure, Crime, Mystery, Romance, Thriller"
1891845ca1,I Am Wrath,2016-04-15,"Action, Crime, Drama, Thriller"
18ad8ca474,Fittest on Earth: The Story of the 2015 Reebok CrossFit Games,2016-02-23,"Documentary, Sport"
18c171be82,David Bowie: Five Years,2013-05-25,Documentary
191d3370d8,Air Bud: Spikes Back,2003-06-24,"Comedy, Family, Sport"
192e33e390,Ukraine Is Not a Brothel,2016-03-08,"Documentary, News"
1940de4ab4,I'll Be Home for Christmas,2016-11-27,"Drama, Family, Romance"
1974a2462b,Sicario: Day of the Soldado,2018-06-29,"Action, Adventure, Crime, Drama, Mystery, Thriller"
19867689c3,The Magnificent Seven,2016-09-23,"Action, Adventure, Western"
19a350796a,A Witches' Ball,2018-10-01,Family
19af1d8ee1,Impostor,2002-01-04,"Drama, Mystery, Sci-Fi, Thriller"
19cf64cf2e,Teefa in Trouble,2018-07-20,"Action, Comedy, Crime, Romance"
19d1373893,Sex Doll,2017-02-10,Thriller
19eb5786ef,Love Per Square Foot,2018-02-14,"Comedy, Romance"
1a03af394c,The Transporter Refueled,2015-09-04,"Action, Adventure, Thriller"
1a16cbc915,The Twilight Saga: Breaking Dawn: Part 2,2012-11-16,"Adventure, Drama, Fantasy, Romance"
1a3f126dd9,Santa Claws,2015-12-03,"Family, Fantasy"
1aa86fd89d,Mountain Men,2016-01-29,"Comedy, Drama"
1ab20f1891,Louis Theroux: The City Addicted to Crystal Meth,2009-08-09,Documentary
1ab67d7e56,Joey,1997-12-26,"Family, Adventure, Comedy"
1ac128e9f1,I Feel Pretty,2018-04-20,"Comedy, Romance"
1ac63e7b78,Terminus,2016-01-22,"Drama, Sci-Fi"
1acde5fb0b,Elle,2016-11-11,"Crime, Drama, Thriller"
1ae403b2d6,Meet the Blacks,2016-04-01,"Comedy, Horror"
1afb69e5d9,Tracers,2015-03-20,"Action, Crime, Drama, Thriller"
1b269acdd1,Bottom of the World,2017-03-01,"Drama, Mystery, Thriller"
1b3f21ac94,Takers,2010-08-27,"Action, Crime, Thriller"
1b4024b2e8,Open Season,2006-09-29,"Animation, Adventure, Comedy, Family, Fantasy"
1b7fe32cdc,Rise of the Guardians,2012-11-21,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi"
1b8173533c,Savage Dog,2017-08-04,"Action, Drama"
1bae944666,Oblivion,2013-04-19,"Action, Adventure, Sci-Fi"
1bdcac432f,Sierra Burgess Is A Loser,2018-09-07,"Comedy, Drama, Romance"
1be30c77ef,Chappie,2015-03-06,"Action, Crime, Drama, Sci-Fi, Thriller"
1be50666f6,Monster: The Josef Fritzl Story,NOT AVAILABLE,"Documentary, Crime"
1bf7b57a46,Three,2016-06-24,"Action, Crime, Thriller"
1c2e1d1ec6,Say When,2014-10-24,"Comedy, Drama, Romance"
1c326b97c9,Peter Pan,2003-12-25,"Adventure, Family, Fantasy, Romance"
1c363d0812,T2 Trainspotting,2017-03-31,Drama
1c3ac97df4,The Patriot,2000-06-28,"Action, Drama, History, War"
1c60776e08,We're Back! A Dinosaur's Story,1993-11-24,"Animation, Adventure, Comedy, Family, Fantasy"
1c71ede41f,How to Make Love Like an Englishman,2015-08-21,"Comedy, Romance"
1cb40406ae,21,2008-03-28,"Crime, Drama, History, Thriller"
1ccc4e2f75,ReMastered: Devil at the Crossroads,2019-04-26,"Documentary, Biography"
1ce73373bf,Violet & Daisy,2013-06-06,"Action, Comedy, Crime"
1cee0a8638,Bait,2015-09-04,"Drama, Thriller"
1cff9ee16c,Restrepo,2010-08-06,"Documentary, Biography, War"
1d2431f2ce,Colours of Passion,2014-11-07,"Biography, Drama, Romance"
1d2c997fe2,Patriots Day,2017-01-13,"Action, Crime, Drama, History, Thriller"
1d395fe402,IBOY,2017-01-27,"Action, Crime, Sci-Fi, Thriller"
1d3a626b9a,Divines,2016-11-18,"Crime, Drama"
1d4dcbbcc8,The Ridiculous 6,2015-12-11,"Action, Adventure, Comedy, Western"
1d88087d76,Supernova,2000-01-14,"Horror, Sci-Fi, Thriller"
1dc7ed62d3,The Guardian Brothers,2016-01-01,"Animation, Comedy, Family, Fantasy"
1ddff1791a,Wind River,2017-08-18,"Crime, Drama, Mystery, Thriller"
1de5b7d082,Nell,1994-12-23,Drama
1e0c4d288c,Kidnap,2017-08-04,"Action, Crime, Drama, Thriller"
1e1c8658aa,Pitch Black,2000-02-18,"Action, Horror, Sci-Fi"
1e26443838,Banking on Bitcoin,NOT AVAILABLE,"Documentary, History, News"
1e532cd770,The Twilight Saga: Breaking Dawn: Part 1,2011-11-18,"Adventure, Drama, Fantasy, Romance, Thriller"
1e70af3161,Jack Reacher,2012-12-21,"Action, Thriller"
